Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
source,1.622361860680781,0.39838434827103125,06:11:49.077,+22:49:32.670,2014-09-12T15:55:52.853 ,4,7.586027912825264E-4,-2.3649781288155465,FoVF,-0.6811349047891271,0.7200800484187766,2456913.16344838
source,1.622361860680781,0.39838434827103125,06:11:49.077,+22:49:32.670,2014-10-16T19:09:47.469 ,4,0.0012733930522010617,-2.4020352327051877,FoVF,-0.6192465793437764,0.7137195569958461,2456947.3014820665
source,1.622361860680781,0.39838434827103125,06:11:49.077,+22:49:32.670,2015-02-26T06:11:24.202 ,5,-0.002430764035640982,-0.6556793209573782,FoVP,0.557790257484571,0.7030793984331882,2457079.76141459
source,1.622361860680781,0.39838434827103125,06:11:49.077,+22:49:32.670,2015-02-26T07:57:58.413 ,3,0.0022553687020436613,-0.6528357199379788,FoVF,0.5561563439157583,0.7051086623193912,2457079.8354149302
source,1.622361860680781,0.39838434827103125,06:11:49.077,+22:49:32.670,2015-03-23T13:48:40.972 ,2,0.004934217144998069,0.8057792285044011,FoVF,-0.709768017039232,0.7084743926071534,2457105.0765000735
source,1.622361860680781,0.39838434827103125,06:11:49.077,+22:49:32.670,2015-04-18T11:53:05.159 ,2,0.002528219025468174,-0.6503268100646412,FoVP,0.5707780553172974,0.7128744633765512,2457130.9936900553
source,1.622361860680781,0.39838434827103125,06:11:49.077,+22:49:32.670,2015-09-05T08:36:29.521 ,4,8.402726845849374E-4,-2.4088409449556853,FoVF,-0.6273851180289889,0.7221110134117359,2457270.8576231934
source,1.622361860680781,0.39838434827103125,06:11:49.077,+22:49:32.670,2015-10-26T18:31:38.037 ,1,0.004548172153041767,-2.5052866389202637,FoVP,-0.498721139915398,0.7141642472698109,2457322.275896912
source,1.622361860680781,0.39838434827103125,06:11:49.077,+22:49:32.670,2015-10-26T20:18:12.219 ,4,2.386883537289486E-4,-2.5019719679796046,FoVF,-0.500685872850245,0.7119680670909587,2457322.3499100613
source,1.622361860680781,0.39838434827103125,06:11:49.077,+22:49:32.670,2016-04-06T14:45:22.953 ,3,0.002467263297728778,0.7769856487705851,FoVF,-0.6678982984167027,0.710216232620437,2457485.114423547
source,1.622361860680781,0.39838434827103125,06:11:49.077,+22:49:32.670,2016-04-27T07:00:35.323 ,4,-0.0016299616808877198,-0.5096127916191566,FoVP,0.4259207191991633,0.7154109324330883,2457505.789762649
source,1.622361860680781,0.39838434827103125,06:11:49.077,+22:49:32.670,2016-04-27T08:47:09.536 ,3,0.0021982002983159275,-0.5132810790425687,FoVF,0.42819355294773404,0.7132261526021453,2457505.8637636127
